income
1.15
1.05
1.59
218
1.51
1.5
3.69
14.8
3.4
2.86
1.3
1.42
1.23
2.33
1.03
1.01
1.12
3.59
10.8
1.24
1.08
1.66
1.07
3.14
1.18
